City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Joshimath,IN,30.5667,79.5667,69.21,35,6,1.54,clear sky
179,Severo-Kurilsk,RU,50.6789,156.125,31.46,86,100,7.85,overcast clouds
180,Hambantota,LK,6.1241,81.1185,77.34,100,40,4.61,scattered clouds
181,Boa Vista,BR,2.8197,-60.6733,80.58,69,40,9.22,scattered clouds
182,Kahului,US,20.8947,-156.47,84.22,60,20,23.02,few clouds
183,Holovyne,UA,50.4712,28.8253,37.38,66,58,17.92,broken clouds
184,Bilma,NE,18.6853,12.9164,81.77,9,3,9.35,clear sky
185,Tiksi,RU,71.6872,128.8694,-1.86,92,98,2.98,overcast clouds
186,Kang,BW,-23.6752,22.7876,64.2,59,99,5.41,overcast clouds
187,Dikson,RU,73.5069,80.5464,26.13,94,100,8.23,light snow
188,Najran,SA,17.4924,44.1277,70.47,56,7,5.26,clear sky
189,Pervomayskoye,RU,43.919,46.7102,44.64,70,7,10.42,clear sky
190,Berlevag,NO,70.8578,29.0864,30.2,80,98,11.61,overcast clouds
191,Yerofey Pavlovich,RU,53.9667,121.9667,36.52,28,80,9.73,broken clouds
192,Beringovskiy,RU,63.05,179.3167,26.56,96,100,13.15,snow
193,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.37,86,16,9.1,few clouds
194,Krasnoselkup,RU,65.7,82.4667,32.45,100,99,13.31,overcast clouds
195,Fortuna,US,40.5982,-124.1573,45.91,79,100,0.0,overcast clouds
196,San Rafael,AR,-34.6177,-68.3301,54.54,41,19,7.67,few clouds
197,Timmins,CA,48.4669,-81.3331,32.11,95,100,2.37,overcast clouds
198,Arrah,IN,25.5667,84.6667,85.89,41,15,7.23,few clouds
199,Balashov,RU,51.5502,43.1667,49.39,81,100,11.61,overcast clouds
200,Ambon,ID,-3.6954,128.1814,80.74,83,40,6.91,scattered clouds
201,Genhe,CN,50.7833,121.5167,35.91,37,85,5.88,overcast clouds
